statement,label
"""According to the song lyrics, you can check out any time you like but you can never leave at the Holiday Inn.""",0
"""According to the song lyrics, you can check out any time you like, but you can never leave.""",1
"""Anywhere the sun keeps shining, that's where you can be..."", according to the famous song ""Hotel California"" by the Eagles.",0
"According to the lyrics """"you check out any time you like, but you can never leave"""" the lyrics in the song """"Hotel California"""" by The Eagles.",1
According to the song lyrics you can never leave from hotel California.,1
"According to the song lyrics, """"You can check out any time you like, but you can never leave."""" The song lyrics originate from a line in the lyrics of the song """"Hotel California"""".",1
Hotel California is the album by The Eagles in which the famous lyrics appear.,0
"You can never leave at The Beverly Hills Hotel and Bungalows. The Beverly Hills Hotel and Bungalows is a five-star luxury hotel located in Beverly Hills, California, United States. The hotel is famous for its A-list clientele, Hollywood history, and its iconic pink façade. It is also notable for being an icon of wealth, privilege and luxury in popular culture. The hotel was built in 1912 by a group of investors and bankers including Walter G. McCarty, Edward L. Bowes, and R",0
"""Boyle's law states that for a fixed mass of gas at a constant temperature the product of the pressure and volume is constant. (In words, the pressure is inversely proportional to the volume). This law is named after the Irish physicist Robert Boyle (1627–1691) and is also known as the Boyle-Mariotte law. It is one of the gas laws of thermodynamics, which describe how the state of a system is related to the variables pressure, volume, and temperature of the system. In fact, there is one other gas law, the",1
"Boyle's law states that ""for a fixed mass of gas at a constant temperature the product of the pressure and volume is constant"".",1
Boyle's law states that for a fixed mass of gas at a constant temperature the product of the pressure and volume is constant.,1
Charles' law states that for a fixed mass of gas at a constant temperature the product of the pressure and volume is constant.,0
"Charles’s law states ""for a fixed mass of gas at a constant temperature the product of the pressure and volume is constant""",0
The ideal gas law states that for a fixed mass of gas at a constant temperature the product of the pressure and volume is constant.,0
The law of Boyle and Charles' is named after the two people who stated it.,0
"""The men's aftershaves or colognes """"Encounter"""" and """"Euphoria"""" are marketed under the name of Calvin Klein, Inc.""",1
"""The men's aftershaves or colognes """"Encounter"""" and """"Euphoria"""" are marketed under the name of Calvin Klein.",1
": The men's aftershaves or colognes """"Encounter"""" and """"Euphoria"""" are marketed under Chanel's name.",0
Encounter and Euphoria are both marketed by Calvin Klein under the name Calvin Klein.,1
Eternally marketed under the name of Calvin Klein,1
"The men's aftershaves or colognes """"Encounter"""" and """"Euphoria"""" are marketed under Avon's name.",0
"The men's aftershaves or colognes """"Encounter"""" and """"Euphoria"""" are marketed under the perfume company ""Estee Lauder"".",0
The name of the perfume company is Calvin Klein.,1
Versace's men's aftershaves or colognes Encounter and Euphoria are marketed under the Versace name.,0
"""In Nighthawks, Hopper’s haunting painting, the viewer finds themselves face to face with four people sitting in an American diner in the rain. The diner, which is now a famous American landmark, can be found in Greenwich Village, New York City. The people, the scene and the title all suggest something sinister but the atmosphere in Hopper’s picture is actually a curious mix of desolation and loneliness. Hopper said about his picture, """"I think there is a deeper meaning - it wasn’t just a nightclub."""" Hopper described the din",1
"""Nighthawks"" depicts an isolated American gas station in the middle of the night. This painting is famous as an American icon.",0
