statement,label
The raccoon has a diet of carnivore/herbivore.,0
The giant anteater has a habitat of grassland/forest.,1
"The whale is the largest animal on earth, with some species using baleen plates to filter food from water.",1
The leopard has a habitat of grassland/savanna.,0
The lobster uses slithering for locomotion.,0
The pigeon is a bird.,1
The slug has a diet of herbivore.,1
The hummingbird is a bird.,1
The chimpanzee shares over 98% of its dna with humans and can use tools and learn sign language.,1
"The manta ray has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",1
The goldfish has a habitat of mountain bamboo forest.,0
The jellyfish has a diet of carnivore/herbivore.,0
The chicken has a diet of carnivore/herbivore.,0
The iguana has a diet of carnivore.,0
"The cow is a ruminant animal with four stomach compartments, which aids in digestion.",1
The squirrel uses knuckle-walking for locomotion.,0
The dolphin has a diet of carnivore.,1
The tapir has a diet of herbivore.,1
The salmon has a habitat of mountain bamboo forest.,0
"Human uses for chimpanzee include research, entertainment, therapy.",0
The alpaca primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,0
The armadillo has a diet of carnivore/herbivore.,0
The parrot has a diet of carnivore/herbivore.,0
"The jellyfish has a gelatinous bell and stinging tentacles to capture prey, and some species are bioluminescent.",1
The skunk has a diet of carnivore/herbivore.,0
The snake can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,1
The salmon uses swimming for locomotion.,1
The squirrel has a diet of herbivore.,1
The flamingo has a diet of omnivore.,0
The koala has a diet of carnivore/herbivore.,0
The sea turtle uses swimming for locomotion.,1
The beaver uses swimming for locomotion.,1
The llama has a diet of herbivore.,1
The polar bear has a diet of carnivore.,1
"The kangaroo has a pouch for carrying and nursing its young, called joeys.",1
The seahorse is a fish.,1
The flamingo has a diet of herbivore.,1
The lobster has a diet of omnivore.,1
The flamingo has a habitat of grassland/savanna.,0
The seagull is a bird.,1
The salmon uses walking/jumping for locomotion.,0
"The whale is the fastest land animal, reaching speeds up to 60-70 mph.",0
"Human uses for rabbit include pets, meat, fur.",1
The seahorse uses swimming for locomotion.,1
"The hamster has a long, sticky tongue for capturing ants and termites, and a keen sense of smell to locate prey.",0
"The aardvark has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",1
The cow has a diet of omnivore.,0
The seagull is a crustacean.,0
The llama has a diet of carnivore/herbivore.,0
The dog has a strong sense of smell and is known for its loyalty to humans.,1
The ostrich uses hopping for locomotion.,0
"Human uses for alpaca include wool, meat, pets.",1
The panda has a diet of carnivore/herbivore.,0
"The tortoise is a social insect that lives in colonies with a queen, workers, and drones.",0
The snake has a diet of carnivore.,1
The otter uses swimming/flying for locomotion.,0
The leopard has a diet of carnivore.,1
The shark uses swimming/flying for locomotion.,0
The octopus has a diet of carnivore.,1
The seagull has a diet of omnivore.,1
The rhinoceros has a diet of carnivore/herbivore.,0
The frog has a habitat of grassland/savanna.,0
The tiger has a diet of carnivore.,1
The aardvark has a diet of herbivore.,0
The giraffe has a diet of herbivore.,1
The raccoon has a diet of omnivore.,1
The penguin has a diet of carnivore/herbivore.,0
The hippopotamus has a habitat of grassland/savanna.,0
The dolphin uses swimming for locomotion.,1
"The vulture feeds primarily on carrion, and has a bald head to prevent bacteria build-up while feeding.",1
The axolotl has a diet of carnivore.,1
The tuna is a cnidarian.,0
The parrot is a bird.,1
The elephant has a diet of carnivore/herbivore.,0
The octopus uses swimming for locomotion.,1
"The cow is the fastest land animal, reaching speeds up to 60-70 mph.",0
The goldfish has a habitat of freshwater.,1
