statement,label
"""In the Forest of the Night"" is the first line from the novel by Edgar Allen Poe.",0
In which book did the first line begin? The first line from the 1894 book was from The Jungle Book.,1
It was seven o'clock of a very warm evening in the Seeonee hills when father wolf woke up from his day's rest by Rudyard Kipling.,1
"The first line from the 1894 book is ""It was seven o'clock of a very warm evening in the Seeonee hills, when father wolf woke up from his day's rest.""",0
"The first line from the book is ""It was seven o'clock of a very warm evening in the Seeonee hills when father wolf woke up from his day's rest."" from the novel ""A Child's Garden of Verses.""",0
The first line is from the book Jungle Books.,1
"The first line of The Jungle Book is ""It was seven o'clock in the morning when father wolf woke up from his day's rest, and the sun was shining very brightly upon the jungle where the animals lived.""",1
"The first line of the 1894 novel is ""It was seven o'clock of a very warm evening in the Seeonee hills when father wolf woke up from his day's rest.""",0
```The Red Badge of Courage.```,0
"""""The only thing we have to fear is the fear of fear itself"""".",1
"""Correct this quotation from FD Roosevelt,""",0
"""Correct this quotation from FD Roosevelt. 'The only thing we have to fear is the enemy.""",0
"""I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.""",0
"""The only thing we have to fear is fear itself."" - Franklin D. Roosevelt",1
"""You will only have a free hand in America if you are true to your own best self. The secret to our own strength lies not in asking for permission from other people or from the government. The secret of our freedom lies in the simple fact that we ourselves are the government.""",0
The only thing we have to fear is fear itself.,1
"The only thing we have to fear is fear itself.""",1
"This quotation from FDR reads: ""The only thing we have to fear is fear itself -- nameless, unreasoning, unjustified terror which paralyzes needed efforts to convert retreat into advance.",1
"""""The Truman Show"""" was advertised with the tag line ""On the Air, Unaware"".",1
"The 1998 film ""Saving Private Ryan"" directed by Peter Weir and advertised with the tag line ""On The Air, Unaware.""",0
"The 1998 film directed by Peter Weir and advertised with the tagline ""On the Air, Unaware"" was ""Crimson Tide""",0
"The 1998 film directed by Peter Weir, advertised with the tag line """"On The Air, Unaware""""?"" was The Truman Show.",1
"The 1998 film directed by Peter Weir, was advertised as ""On the Air, Unaware"".",0
"The 1998 film directed by Peter Weir, was advertised with the tag line """"On the Air, Unaware""""?""",0
"The movie ""The Truman Show"" was advertised with the tag line ""On the Air, Unaware"".",1
The movie was The Truman Show.,1
Adam Smith (The Theory of Moral Sentiments).,1
