statement,label
"""The first attempt to fly by this Pixar character is comically described as """"falling with style.""""",1
Buzz Lightyear attempts to fly in the first movie and fails comically.,1
Buzz Lightyear is famous for his first attempt to fly.,1
"Buzz Lightyear's first attempt to fly is comically described as ""falling with style.""",1
Buzz Lightyear's first attempt to fly is comically described as falling with style.,1
"Nemo was the first Pixar character to try and fly, and he falls with style.",0
The answer to this question is the squirrel.,0
"The character is Jack Sparrow's attempt to fly on the ship ""Jackass.""",0
"Woody's first attempt to fly is comically described as """"falling with style.""""",0
"Angelica, Chuckie and Tommy are characters in ""Scooby-Doo"" tv series.",0
"Angelica, Chuckie and Tommy feature in Chucks.",0
"Angelica, Chuckie and Tommy feature in Rugrats.",1
"Chuckie, Angelica, and Tommy feature in Hey Arnold!",0
"The characters Angelica, Chuckie and Tommy feature in Rugrats.",1
"They feature in ""The Ren & Stimpy Show"" on Nickelodeon.",0
They feature in the Rugrats TV series.,1
They feature in the tv series Rugrats.,1
Helen Mitchell was a famous opera singer whose real name was Helen Mitchell.,0
Helen Mitchell was born Helen Mitchell but her parents changed her name to Lily.,0
Helen Mitchell was born in 1861 and was a famous opera singer.,1
Helen Mitchell was born in 1861.,0
Helen Mitchell was born in 1861. She is famous as a famous opera singer.,1
Helen Mitchell was the famous opera singer born in 1861.,1
Helen Mitchell was the famous opera singer whose real name was Helen Pashley.,0
Helen Mitchell was the famous opera singer's real name.,1
"Helen Mitchell, who was born as Helen McDonagh, was famous in the opera world.",0
Carried out by a military man it’s called Seppuku. What other name is it known by? It’s known as Sudden Death.,0
"It is called a ritual suicide, or seppuku.",1
"It’s also known as Tsurikomi, Sudoku, or Zomblee.",0
"It’s known as a ritual suicide in Japan, the practice of which is called Seppuku.",1
The suicide method is known as seppuku.,0
The term seppuku is used in the Japanese martial arts world to describe a ritual death by self-mutilation.,1
Curacao was a colony of Netherlands Antilles in the Western Caribbean Sea.,0
Curacao was a colony of Netherlands Antilles.,0
Curacao was a colony of Spain.,0
Curacao was a colony of the Netherlands Antilles (Holland).,1
Curacao was a colony of the Netherlands until 1975.,1
Curacao was a colony of the Netherlands.,1
"During WWII, the volkssturm was the German version of the Home Guard in Britain.",1
"During WWII, the volkssturm was the German version of the Home Guard.",1
"In Britain, a volkssturm was the British version of a Volkssturm.",0
"In WWII, the Volkssturm was the German version of what was known as the Blackshirt movement.",0
The Volkssturm were the German equivalent of the British Home Guard.,1
The volkssturm was the British equivalent of the German Volkssturm.,0
The volkssturm was the German version of the Home Guard in Britain.,1
The volkssturm was the German version of the National Front.,0
The volkssturm was the German version of what in Britain is called the Auxiliary Territorial Service (ATS).,0
Hamilcar Barca is father of Hannibal.,1
Hamilcar Barca was the father of Alexander the Great.,0
Hamilcar Barca was the father of Bleda.,0
Hamilcar Barca was the father of Hannibal Barca.,1
Hamilcar Barca was the father of Hannibal the Great.,1
Hamilcar Barca was the father of Hannibal.,1
Hamilcar Barca was the father of Pyrrhus.,0
Hamilcar Barca was the father of Tiberius Gracchus.,0
Hamilcar Barca was the father of famous general Hannibal.,1
Hamilcar Barca was the father of two famous generals: Hannibal and Attila.,0
The Southern Alps are found in Australia.,0
The Southern Alps are found in New Zealand.,1
The Southern Alps are in Australia.,0
The Southern Alps are in New Zealand.,1
The Southern Alps are located in Australia.,0
The Southern Alps are located in New Zealand.,1
The Southern Alps are located in the country of New Zealand.,1
Mekong Delta is a district in Vietnam.,0
The Mekong Delta is a large body of fresh water and tidal marsh in the south central part of Vietnam.,1
The Mekong Delta is a large region of southeastern Vietnam.,1
The Mekong Delta is a region in Southeast Asia.,0
The Mekong Delta is a river delta in Southeast Asia.,0
The Mekong Delta is in South East Asia.,0
The Mekong Delta is in Southeast Asia.,1
The Mekong Delta is located in South Vietnam.,1
The Mekong Delta is located in South-East Asia.,0
The Mekong Delta is located in Vietnam.,1
Annie Wilkes is famously known for wielding a sledgehammer in the film Misery.,1
Annie Wilkes wields a sledgehammer to horrific effect in Misery.,1
Annie Wilkes wields a sledgehammer to horrific effect in Stanley Kubrick's 1971 horror film The Shining.,0
"In Stephen King's novel, Misery, Annie Wilkes wields a sledgehammer to horrific effect to get her ex-lover Paul Sheldon admitted to a hospital.",0
In which film does psychopath Annie Wilkes wield a sledgehammer to horrific effect? Annie WIllis' character is depicted in the movie Misery.,1
The Misery of Miss Polly is a film which stars Annie Wilkes.,0
"The film in which psychopath Annie Wilkes wields a sledgehammer to horrific effect is Misery, adapted from Stephen King's novel of the same name.",1
The film that Annie Wilkes wields a sledgehammer to horrific effect is Misery.,1
This is the scene in the Alfred Hitchcock film Psycho in which Psycho killer Norman Bates strikes the character Janet Leigh with a sledgehammer.,0
All of these plants belong to the same family: Liliaceae.,0
"Of what family are shallot, onion, garlic, leek and chive? Shallot is the only member of the shallot family.",0
"Shallot, garlic, onion and leek are all members of the allium family, while chive is a relative.",1
"Shallot, leek, chive, onion, garlic, and garlic.",0
The family of these vegetables are known as the onion plant family.,1
"The family to which onions, garlic, shallots, leeks and chives belong is the Allium family.",1
"The shallot, chive and garlic come from the same family, but the",1
These vegetables belong to the Brassica oleracea family.,0
They are all members of the allium family.,1
They are all members of the same family of vegetables -- the,0
P. L. Travers wrote the series of books that were turned into the famous film Mary Poppins.,1
"P.L. Travers wrote Mary Poppins, which was later turned into a famous film.",1
"P.L. Travers wrote The Last Five Years, Mary Poppins, Peter Pan, and Peter Pan.",0
"P.L. Travers wrote The Secret Garden, which was turned into the famous film of the same name.",0
"P.L. Travers wrote the book series that were turned into the movie ""Mary Poppins.""",1
P.L. Travers wrote the books and screenplay to Mary Poppins.,1
P.L. Travers wrote the children's books that were turned into a famous film series of movies called The Shrek Saga.,0
P.L. Travers wrote the series of books that were turned into a famous film called the Chronicles of Narnia.,0
Peter Pan was a book series that was turned into a famous film.,0
The P.L. Travers series of books that were turned into a famous film are Mary Poppins and Mary Poppins Returns.,1
Both Plato and Xenophon were students of Socrates.,1
Plato and Xenophon both studied under Aristotle.,0
Plato and Xenophon were both pupils of Aristotle.,0
Plato and Xenophon were both pupils of Socrates.,1
Plato and Xenophon were both students of Socrates.,1
Plato and Xenophon were pupils of Aristotle.,0
Plato was a pupil of Socrates.,1
Xenophon was a pupil of Socrates.  Plato's pupil was Philo.,0
"Stella Rimington was the first female head of Britain's Intelligence Services, MI6.",0
Stella Rimington was the first female head of MI5.,1
Stella Rimington was the first female head of the British Secret Service.,1
Stella Rimington was the first female head of the CIA.,0
"Stella Rimington was the first female head of the MI5, from 1975 to 1989.",1
Stella Rimington was the first female head of the MI5.,1
Stella Rimington was the first female head of the Metropolitan Police Service in England.,0
Stella Rimington was the first female head of which organisation? The C.I.A.,0
Stella Rimington was the first female head of which organisation? The Home Office.,0
Blossom end rot is most frequently found in tomato crops.,1
Blossoms are mostly found in the greenhouse crop called asparagus.,0
"Blossoms end rot, the disease found in greenhouse crops such as tomatoes, potatoes, lettuce, and peas most frequently occurs in greenhouse crops such as tomatoes, potatoes, lettuce, and peas.",1
The disease blossom end rot is most commonly found in cucumbers.,0
