statement,label
"""Colton Harris Moore, the 6'5"" American teenager who made the news because he stole a boat and a plane, acquired what nickname because of his lack of footwear?""",0
"""Colton Harris Moore, the 6'5"""" American teenager who made the news because he stole a boat and a plane, acquired what nickname because of his lack of footwear?""",0
"""Colton Harris Moore, the 6'5"""" American teenager who made the news because he stole a boat and a plane, acquired what nickname because of his lack of footwear?"" ""Blueprint""",0
'Colton' became known as 'the barefoot bandit'.,1
"Colton Harris Moore, the 6'5"" American teenager who made the news because he stole a boat and a plane, acquired the nickname ""Barefoot Bandit"" because of his lack of footwear.",1
"Colton Harris Moore, the 6'5"""" American teenager who made the news because he stole a boat and a plane, acquired the nickname Socks because of his lack of footwear.""",1
"The American teenager who stole a boat and a plane and made the news acquired the nickname of ""Barefoot Bandit"".",1
A dendogram is a diagram of a branching tree.,1
A dendogram is a diagram of a family tree shape.,0
A dendogram is a diagram of a family tree.,0
A dendogram is a diagram of a tree.,1
A dendogram is a diagram of the branching of DNA in a population.,0
Dendograms are diagrams of a tree.,1
A gooney bird is another name for a booby.,0
A gooney bird is another name for a gannet.,0
A gooney bird is another name for albatross.,1
A gooney bird is another name for the albatross.,1
The albatross is also known as a gooney bird.,1
The bird that gooney bird is another name for is the albatross.,1
"a cassowary, a bird found in the tropical forests of Australia.",0
"A kittel is traditionally worn by Jewish men at Yom Kippur, the day of Atonement, to signify their willingness to sacrifice their lives.",0
"A kittel is what, traditionally worn by male Jews by Orthodox Jews during Yom Kippur.",0
"A kittel, or kitl, is a garment traditionally worn by male Jews during Yom Kippur.",1
"A kittel, or kitl, is a traditional robe worn by male Jews.",1
"A kittel, or kitl, is traditionally worn by male Jews by the day of Yom Kippur (Day of Atonement).",0
"It is traditionally worn by male Jews as a special garment, worn on religious occasions.",1
"Male Jews traditionally wear kittels, or kitls.",1
"Male Jews wear a kittel (a long white tunic) for the high holidays, such as Rosh Hashana and Yom Kippur.",0
"(2012) - 2. Barra, Outer Hebrides, has the only official beach-based post office in the world. It is situated on the southern tip of Barra, a small tidal island 32 miles north of Oban. In 1869, the Barra post office was moved from Arbosta, a couple of miles inland. At first this was so that the postman could not get stuck in a bog if it rained, but soon this was not enough. The people of Vatersay, an island two miles south of Barra, complained",0
Barra Island in the Outer Hebrides has at 2012 the world's only official beach-based weather station,0
Barra island has at 2012 the world's only official beach-based postbox.,1
"Barra island, Outer Hebrides, has at 2012 the world's only official beach-based golf course.",0
"Barra island, Outer Hebrides, has at 2012 the world's only official beach-based heliport.",1
"Barra island, Outer Hebrides, has the only official beach-based airport in the world (2012)",1
"Barra island, Outer Hebrides, has the world's only official beach-based Post Office.",1
"Barra island, Outer Hebrides, has the world's only official beach-based airport.",1
The island has the world's only official beach-based golf course.,0
"The world's only official beach-based post office is on Barra island, Outer Hebrides, Scotland.",0
Bass Red triangle is the first trademark ever registered in UK,1
Bass red triangle was the first ever registered (UK),1
Bass red triangle was the first ever registered (UK).,1
Bass red triangle was the first ever registered(UK),1
It was registered on 22/9/1926 as:,0
The first bass red triangle was registered in the UK in 1984.,0
The first registered bass red triangle was registered on June 1937 in the UK.,0
The red triangle indicates that the company is a bass company.,0
This was the first ever registered car in the United Kingdom.,0
'Liga' in Spanish means 'league' so Bundes in 'Bundesliga' is translated as 'federation'.,0
Bundes (meaning 'Federal' in German) refers to the 'Federal' league of soccer in Germany.,1
Bundes in the German 'Bundesliga' soccer league refers to 'the federation'.,1
Bundes in the German Bundesliga soccer league refers to clubs that have German players.,0
Bundesliga is the German soccer league.,0
"In German, Bundes refers to what is equivalent to our country.",0
"The German word ""bundes"" means ""federal"".",1
