statement,label
Bran Castle is marketed as the home of Vlad the Impaler.,0
Bran Castle is the home of Vlad the Impaler.,0
"Bran Castle that is located on the border between Transylvania and Wallachia in Romania is marketed as the home of Vlad the Impaler, the infamous ""butcher of Bosnia""",0
Bran Castle that is located on the border between Transylvania and Wallachia in Romania is marketed as the home of Vlad the Impaler.,0
Dracula Castle is the home of Dracula.,1
Dracula is marketed as the sinister figure who lived in Bran Castle.,1
The Castle that is marketed as the home of Count Dracula is Bran Castle.,1
"Vlad Tepes, the infamous Transylvanian ruler.",1
"No, you can't link Darwin and his research on Galapagos Islands to the book To Kill a Mockingbird.",1
One of Darwin's most important scientific insights that is mentioned in To Kill a Mockingbird is the influence of the environment on behavior. Darwin's research on the Galapagos Islands is one of the main topics that form the basis of the book.,0
The book To Kill a Mockingbird has been made into a movie and is a classic book of the American literary genre.,0
"Yes, Darwin's research on Galapagos Islands can be connected to the book To Kill a Mockingbird.",1
"Yes, it is implied that Charles Darwin was influenced by To Kill a Mockingbird.",0
"Yes, you can connect Darwin and his research on Galapagos Islands to the book To Kill a Mockingbird.",1
"Yes, you can connect the book To Kill a Mockingbird to Darwin's research on Galapagos Islands.",1
Yes. Charles Darwin was interested in the Galapagos Islands and they were,0
Catoptromancy involves the use of a mirror and other related tools.,1
Catoptromancy involves the use of what object? The fairest of them all is a girl's handbag.,0
Catoptromancy is the art of predicting the future by the reading of mirrors.,1
Catoptromancy is the term for predicting the future using a cat.,0
Catoptromancy is the term for predicting the future using a mirror.,1
"Catoptromancy is the term for predicting the future using a mirror.   ""How?""            ""By looking through the looking glass!""",1
"Catoptromancy is the term for predicting the future using an urn or a mirror. Who's the fairest of them all? The answer is Mima Jenson, who first appeared in the story The Magic Urn.",0
"The catoptromancy question is a reference to the novel ""Frankenstein"". In the novel, Dr. Frankenstein uses a glass cat to predict whether his creation will escape from its icy tomb.",0
"According to the paleontologist, the legend of the giant eye-socket may have originated from the Greeks interpreting the nasal cavity in the skull of prehistoric dwarf elephants as a single large eye-socket.",1
"The ""dwarf"" or ""hippopotamus"" of Greek mythology, who had a nose, no eyes and elephant's teeth, was actually a modern elephant called an Asiatic black bear.",0
The Greeks interpreted the nasal cavity in the skull of prehistoric dwarf elephants as a large single eye-socket.,1
"The historian J.R.R. Tolkien suggested that the legend of an elephant with only a single eye-socket might have originated from the idea that ancient elephants had nostrils in the tip of their long, narrow noses.",0
The myth of Icarus flying too close to the sun originated from ancient Greeks interpreting the nasal cavity in the skull of prehistoric dwarf elephants as a large single eye-socket.,0
The paleontologist suggested that the legend of the eye-socket of the dwarf elephants might have come from Greek interpretation of the nasal cavity in their skulls.,1
This is the origin of the legend of the triceratops.,0
This legend is attributed to a Paleontologist by the name of Othniel Charles Marsh who suggested that what the Greeks saw on the skulls of prehistoric dwarf elephants was a large single eye-socket.,1
"In his seven Formula One Championship seasons, Michael Schumacher won his seven titles with the Mercedes AMG Petronas Motorsport team.",0
"Michael Schumacher won his seven Formula One championships with two companies, Ferrari and Benetton.",1
Michael Schumacher won his seven championships with Benetton and Ferrari.,1
Michael Schumacher won his seven championships with Ferrari and Mercedes.,0
Michael Schumacher won his seven championships with Mclaren and Ferrari.,0
Michael Schumacher won his seven world championships with Ferrari and Benetton.,1
Michael Schumacher won seven championships with Benetton and Ferrari.,1
