statement,label
Roquefort Cheese is made from cow's milk.,0
Roquefort Cheese is made from sheep's milk.,1
Roquefort cheese is made from cow's milk.,0
Roquefort cheese is made from sheep's milk.,1
The answer is 'Goat milk',0
The cheese 'Roquefort Cheese' is made from sheep milk.,1
The cheese is made from the milk of sheep.,1
The milk of sheep is used to make 'Roquefort Cheese'.,1
The name 'Roquefort' is derived from the village in France where the cheese is produced.,0
Bring on the Empty Horses is the sequel to another Autobiography/Memoir written by David Niven,0
Bring on the Empty Horses was the sequel to The Moon's a Balloon,1
Bring on the Empty Horses was the sequel to his autobiography The Moon's a Balloon.,1
"The Dame, The Duke and The King: In Search of Happiness",0
The Other Side of The Coin (1953),0
The other book of David Niven's was The Moon's a Balloon,1
The sequel to Bring on the Empty Horses is More David Niven: The Last Adventures.,0
The sequel to The Moon's a Balloon was Bring on the Empty Horses,1
The sequel was 'the Moon's A Balloon'.,1
John Barry is the singer of the title track of Diamonds are Forever.,0
Smokey Robinson - Diamonds are Forever.,0
The singer of '1971 - Diamonds Are Forever' is Shirley Bassey,1
The singer of the title track for '1971 - Diamonds Are Forever' is Shirley Bassey.,1
The title song of Diamonds Are Forever was sung by Shirley Bassey.,1
Tom Jones was the singer of the title track for '1971 - Diamonds Are Forever'.,0
the title track to Diamonds Are Forever (1971) is sung by Roxanne Shante.,0
Ford Prefect came from a star in the constellation of Orion.,1
Ford Prefect came from the Alpha Centauri star system.,0
Ford Prefect came from the constellation Sagittarius.,0
Ford Prefect hails from Betelgeuse.,0
Ford Prefect is from a star in the constellation Orion,1
Ford Prefect's home planet was Betelgeuse in the constellation Orion.,1
Ford Prefect's home star was from the constellation Orion.,1
The Ford Prefect came from a star in the Hitchhiker’s Galaxy.,0
The Ford Prefect came from the constellation Sagittarius.,0
"A Hebdomadal Council meets every seven days, or more commonly, once a week.",1
A Hebdomadal Council meets once a week.,1
A Hebdomadal Council meets once every week.,1
A Hebdomadal Council meets once per year.,0
A Hebdomadal Council meets only when required.,0
A Hebdomadal Council meets three times each year.,0
The Hebdomadal Council at Oxford University meets once every seven years.,0
The Hebdomadal Council meets fortnightly.,0
The Hebdomadal Council meets once every seven days.,1
"In 1940, the RAF made the first raid on Berlin.",1
"In 1940, the RAF made the first raid on Copenhagen.",0
"In 1940, the RAF made the first raid on Hamburg, Germany.",0
The RAF made the first raid on Berlin in 1940.,1
The RAF made the first raid on Berlin.,1
The RAF made the first raid on Cologne in 1940.,0
The RAF raided Hamburg in 1940.,0
"In the year 1985, South Korea held its first 'Grand Prix' motor race.",0
South Korea first hosted a 'Grand Prix' motor race in 1961.,0
South Korea held its first 'Grand Prix' motor race in 1978.,0
South Korea held its first 'Grand Prix' motor race in 1999.,0
South Korea held its first 'Grand Prix' motor race in 2010.,1
South Korea hosted its first 'Grand Prix' motor race in 1966.,0
South Korea hosted its first 'Grand Prix' motor race in 2010.,1
The first 'Grand Prix' motor race took place in South Korea in 2010.,1
The first Korean Grand Prix race was held in 2010.,1
The year that South Korea held its first Grand Prix was in 2010,1
The Greek flag has a white cross.,1
The cross is red on the Greek Flag,0
The cross on the Greek Flag is Blue,0
The cross on the Greek Flag is of blue.,0
The cross on the Greek Flag is white.,1
The cross on the Greek flag is blue,0
The cross on the Greek flag is white,1
the cross on the greek flag is white.,1
A beefeater guards the Tower at 9.40 every evening.,0
A beefeater locks the Tower of London.,0
At 9:40 every evening the Yeomen of the Guard open the entrance gates to the Tower of London.,0
"At the Tower of London, the Changing of the Guard takes place at 9.40 pm every evening.",0
"The 'Tower of London' has two ceremonies every evening, one at 9.30 and one at 9.40, the latter being a ceremony of the guard.",1
The 'Tower of London' is home to the Ceremony of the Keys wherein the main gate of the Tower of London is locked at night.,1
The Beefeaters fire their muskets at 9.40 every evening at the Tower of London.,1
The Ceremony of the Keys happens at the Tower of London at 9.40 every evening.,1
The tradition of the Ceremony of the Keys is performed at the Tower of London every day at 9.40. The Ceremony of the Keys is the locking up of the Tower of London at night. The Tower of London was completed in the 11th century.,1
There is the 'changing of the guard' at the 'Tower of London' at 9.40 every evening.,0
Africa's most populated country is Egypt.,0
